"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user can login successfully with correct username and password","8760","Valid login with correct credentials","","2026-02-25","passed","2026-02-25","","allure-report-basics\04_epic_feature_story.spec.ts","",""
"Data-driven login test demonstrating parameter usage with different credentials","3104","Data-driven Login - Username: student - Expected: failure","","2026-02-25","passed","2026-02-25","","allure-report-basics\05_allure_parameters.spec.ts","",""
"This test shows how to attach a screenshot when something goes wrong","8136","Attach screenshot when test fails","","2026-02-25","passed","2026-02-25","","allure-report-basics\03_screenshots_attachment.spec.ts","",""
"","1182","get started link","","2026-02-25","passed","2026-02-25","","example.spec.ts","",""
"","0","Data-driven Login - Username: student - Expected: failure","","2026-02-25","skipped","2026-02-25","","allure-report-basics\05_allure_parameters.spec.ts","",""
"Data-driven login test demonstrating parameter usage with different credentials","3417","Data-driven Login - Username: wronguser - Expected: failure","","2026-02-25","passed","2026-02-25","","allure-report-basics\05_allure_parameters.spec.ts","",""
"This test verifies that login fails with wrong credentials","5013","Login with invalid credentials","","2026-02-25","passed","2026-02-25","","allure-report-basics\02_allure_steps.spec.ts","",""
"","1513","has title","","2026-02-25","passed","2026-02-25","","example.spec.ts","",""
"","0","Data-driven Login - Username: wronguser - Expected: failure","","2026-02-25","skipped","2026-02-25","","allure-report-basics\05_allure_parameters.spec.ts","",""
"","0","Verify practice test site homepage loads correctly","","2026-02-25","skipped","2026-02-25","","allure-report-basics\05_allure_parameters.spec.ts","",""
"Verify login page loads with all required elements","2523","Login page loads correctly - with issue link","","2026-02-25","passed","2026-02-25","","allure-report-basics\08_allure_links.spec.ts","",""
"This test verifies that a user can login with valid credentials","9027","Login with valid credentials","","2026-02-25","passed","2026-02-25","","allure-report-basics\02_allure_steps.spec.ts","",""
"Verify error message when wrong credentials are entered","3084","Invalid login","","2026-02-25","passed","2026-02-25","Login Feature Tests","allure-report-basics\07_allure_with_hooks.spec.ts","",""
"This test verifies the practice test site homepage loads correctly with parameters","3106","Verify practice test site homepage loads correctly","","2026-02-25","passed","2026-02-25","","allure-report-basics\05_allure_parameters.spec.ts","",""
"Verify that the checkout page is accessible","2007","Checkout page is accessible","","2026-02-25","passed","2026-02-25","","allure-report-basics\04_epic_feature_story.spec.ts","",""
"Verify that login fails when wrong password is entered","4802","Invalid login with wrong password","","2026-02-25","passed","2026-02-25","","allure-report-basics\04_epic_feature_story.spec.ts","",""
"Verify error message when no credentials are entered","2710","Empty credentials login","","2026-02-25","passed","2026-02-25","Login Feature Tests","allure-report-basics\07_allure_with_hooks.spec.ts","",""
"","0","Data-driven Login - Username: student - Expected: success","","2026-02-25","skipped","2026-02-25","","allure-report-basics\05_allure_parameters.spec.ts","",""
"This test shows how to attach screenshots at different stages of the test","5633","Attach screenshots at different stages","","2026-02-25","passed","2026-02-25","","allure-report-basics\03_screenshots_attachment.spec.ts","",""
"","0","Full login flow - complete example","","2026-02-25","skipped","2026-02-25","Complete Allure Example","allure-report-basics\09_complete_example.spec.ts","",""
"","8609","Fill Text Box Form and Verify Output","","2026-02-25","passed","2026-02-25","Text Box Tests","basic-scripts\text-box\ImportJSONintoPlaywrightTypeScripttests.spec.ts","",""
"Verify that the registration page loads and all fields are visible","2977","Registration page loads correctly","","2026-02-25","passed","2026-02-25","","allure-report-basics\04_epic_feature_story.spec.ts","",""
"Verify successful login with correct credentials","3779","Valid login","","2026-02-25","passed","2026-02-25","Login Feature Tests","allure-report-basics\07_allure_with_hooks.spec.ts","",""
"This is a complete end-to-end test of the login flow. It verifies that a valid user can log in and see the success message.","5674","Full login flow - complete example","","2026-02-25","passed","2026-02-25","Complete Allure Example","allure-report-basics\09_complete_example.spec.ts","",""
"Data-driven login test demonstrating parameter usage with different credentials","4616","Data-driven Login - Username: student - Expected: success","","2026-02-25","passed","2026-02-25","","allure-report-basics\05_allure_parameters.spec.ts","",""
"This test verifies that the search box is visible on Google homepage","2240","Verify Google search box is visible","","2026-02-25","passed","2026-02-25","","allure-report-basics\01_basic_description_severity.spec.ts","",""
"This test demonstrates attaching text, JSON, and HTML content to Allure report","2349","Attach different types of content to Allure report","","2026-02-25","passed","2026-02-25","","allure-report-basics\06_allure_attachments.spec.ts","",""
"Verify user can login successfully","3789","Successful login - with TMS link","","2026-02-25","passed","2026-02-25","","allure-report-basics\08_allure_links.spec.ts","",""
"This test verifies that the Google homepage loads correctly and the title is correct","3863","Verify Google homepage title","","2026-02-25","passed","2026-02-25","","allure-report-basics\01_basic_description_severity.spec.ts","",""
